symbol,quoteAsset,numberOfTrades,min,max,priceSpread
BTCUSDT,USDT,843555959,12765.0,13238.81,473.8099999999995
ETHUSDT,USDT,579106724,1006.33,1011.07,4.740000000000009
BNBUSDT,USDT,439561564,107.2811,116.24,8.9589
DOGEUSDT,USDT,399491736,0.0024519,0.002531,7.909999999999992e-05
XRPUSDT,USDT,352417771,0.17351,0.22949,0.05598
